timestamp,volume,y_pred
2015-11-04 11:20:00,51,48
2015-11-04 11:25:00,45,47
2015-11-04 11:30:00,39,47
2015-11-04 11:35:00,46,47
2015-11-04 11:40:00,35,47
2015-11-04 11:45:00,46,46
2015-11-04 11:50:00,43,46
2015-11-04 11:55:00,42,46
2015-11-04 12:00:00,44,46
2015-11-04 12:05:00,33,46
2015-11-04 12:10:00,47,46
2015-11-04 12:15:00,49,46
2015-11-04 12:20:00,29,46
2015-11-04 12:25:00,32,46
2015-11-04 12:30:00,36,46
2015-11-04 12:35:00,43,46
2015-11-04 12:40:00,60,46
2015-11-04 12:45:00,29,46
2015-11-04 12:50:00,45,47
2015-11-04 12:55:00,43,47
2015-11-04 13:00:00,46,47
2015-11-04 13:05:00,41,47
2015-11-04 13:10:00,33,48
2015-11-04 13:15:00,37,48
2015-11-04 13:20:00,66,48
2015-11-04 13:25:00,56,49
2015-11-04 13:30:00,43,49
2015-11-04 13:35:00,54,49
2015-11-04 13:40:00,54,50
2015-11-04 13:45:00,59,50
2015-11-04 13:50:00,47,50
2015-11-04 13:55:00,54,51
2015-11-04 14:00:00,41,51
2015-11-04 14:05:00,49,51
2015-11-04 14:10:00,49,51
2015-11-04 14:15:00,30,52
2015-11-04 14:20:00,39,52
2015-11-04 14:25:00,58,52
2015-11-04 14:30:00,46,52
2015-11-04 14:35:00,47,53
2015-11-04 14:40:00,37,53
2015-11-04 14:45:00,47,53
2015-11-04 14:50:00,33,53
2015-11-04 14:55:00,37,53
2015-11-04 15:00:00,45,53
2015-11-04 15:05:00,43,53
2015-11-04 15:10:00,45,53
2015-11-04 15:15:00,43,53
2015-11-04 15:20:00,44,53
2015-11-04 15:25:00,46,53
2015-11-04 15:30:00,46,53
2015-11-04 15:35:00,53,53
2015-11-04 15:40:00,56,53
2015-11-04 15:45:00,48,53
2015-11-04 15:50:00,50,53
2015-11-04 15:55:00,51,53
2015-11-04 16:00:00,54,53
2015-11-04 16:05:00,49,52
2015-11-04 16:10:00,42,52
2015-11-04 16:15:00,57,52
2015-11-04 16:20:00,59,52
2015-11-04 16:25:00,54,52
2015-11-04 16:30:00,47,52
2015-11-04 16:35:00,37,52
2015-11-04 16:40:00,53,52
2015-11-04 16:45:00,37,52
2015-11-04 16:50:00,40,52
2015-11-04 16:55:00,43,51
2015-11-04 17:00:00,40,51
2015-11-04 17:05:00,43,51
2015-11-04 17:10:00,52,51
2015-11-04 17:15:00,56,51
2015-11-04 17:20:00,72,51
2015-11-04 17:25:00,71,51
2015-11-04 17:30:00,73,51
2015-11-04 17:35:00,53,51
2015-11-04 17:40:00,83,51
2015-11-04 17:45:00,67,51
2015-11-04 17:50:00,72,51
2015-11-04 17:55:00,58,51
2015-11-04 18:00:00,51,51
2015-11-04 18:05:00,64,51
2015-11-04 18:10:00,83,51
2015-11-04 18:15:00,55,51
2015-11-04 18:20:00,43,51
2015-11-04 18:25:00,56,51
2015-11-04 18:30:00,56,51
2015-11-04 18:35:00,65,51
2015-11-04 18:40:00,65,51
2015-11-04 18:45:00,63,51
2015-11-04 18:50:00,56,51
2015-11-04 18:55:00,70,51
2015-11-04 19:00:00,60,51
2015-11-04 19:05:00,51,51
2015-11-04 19:10:00,76,51
2015-11-04 19:15:00,55,51
2015-11-04 19:20:00,46,51
2015-11-04 19:25:00,55,51
2015-11-04 19:30:00,46,50
2015-11-04 19:35:00,44,50
2015-11-04 19:40:00,51,50
2015-11-04 19:45:00,46,49
2015-11-04 19:50:00,41,49
2015-11-04 19:55:00,51,49
2015-11-04 20:00:00,38,48
2015-11-04 20:05:00,43,48
2015-11-04 20:10:00,54,47
2015-11-04 20:15:00,53,47
2015-11-04 20:20:00,40,46
2015-11-04 20:25:00,48,46
2015-11-04 20:30:00,39,45
2015-11-04 20:35:00,50,44
2015-11-04 20:40:00,34,44
2015-11-04 20:45:00,30,43
2015-11-04 20:50:00,50,42
2015-11-04 20:55:00,38,41
2015-11-04 21:00:00,40,41
2015-11-04 21:05:00,37,40
2015-11-04 21:10:00,30,39
2015-11-04 21:15:00,35,38
2015-11-04 21:20:00,30,37
2015-11-04 21:25:00,31,36
2015-11-04 21:30:00,25,35
2015-11-04 21:35:00,27,35
2015-11-04 21:40:00,21,34
2015-11-04 21:45:00,31,33
2015-11-04 21:50:00,33,32
2015-11-04 21:55:00,31,31
2015-11-04 22:00:00,26,30
2015-11-04 22:05:00,39,29
2015-11-04 22:10:00,28,28
