ticks,traffic_volumes,traffic_targets,smart_average_speeds_a,smart_average_speeds_h,average_speeds_h,average_speeds_a
46350,519,520.7523045862715,6.446414043125586,2.180849199829826,5.24118791602472,1.7317129934127204
46380,521,508.2022132296615,8.393130140209882,3.076718843999665,8.385012659400614,2.768144067075951
46410,511,495.95457813041594,7.092577063512628,3.069352094954726,6.355110338987178,2.0909374048137
46440,515,520.1615510576175,6.933719752966377,2.5119066565219064,5.543984059525143,1.7438147497514735
46470,538,545.5500385108211,6.858758323183151,2.692882003288316,8.580512473809996,2.6854959264923934
46500,564,569.8084328037878,6.892168477410584,2.5767879407355037,6.062793609205421,2.014410988755768
46530,589,595.145499358019,7.123861217375523,2.4542605621402203,5.718578566600647,1.8102474325563718
46560,587,556.7076397794852,8.336755242823003,3.262515965558681,8.723719853439512,2.7339860491513264
46590,557,520.7523143889318,6.96766769298779,2.4402201337386136,5.927254507743995,1.8795689056961626
46620,520,482.1229607987853,6.676767240302669,2.2624118491858836,5.234131367659008,1.6289526257997031
46650,477,446.35912871965417,7.653397392063718,2.773984950711062,8.34036840153955,2.615704905003123
46680,464,470.5038348278926,6.652575171864893,2.6515151928660616,5.692962356442151,1.8824487268485295
46710,477,495.9545898002494,5.633638917786428,1.9975411573906108,4.804127779774872,1.6141850698427185
46740,431,399.8513743829811,7.620207680954005,2.3819490067414426,8.989502589444529,3.0240321580098213
46770,367,322.37048488724054,5.583314022722053,2.003585537343967,5.622275900133129,1.8772392144015029
46800,344,346.28144958338737,4.935261730340592,1.578335602438295,5.054984674275612,1.6296220217793749
46830,344,371.96594585113723,8.68474183798648,3.1114512749187866,8.964092297679668,3.268429607374648
46860,327,318.53260646957636,6.0389505541715005,1.8621800614311637,6.536038107697231,2.0289878111115254
46890,301,272.7750282411823,6.164109343245623,1.777508589302872,5.482071964704576,1.6905617152850778
46920,287,284.90422578722655,8.927070058039307,3.4829965124639948,9.354028700822422,3.0885779915157716
46950,283,297.5727594816697,7.672298382560406,2.556723881316752,7.102550978757824,2.3187565671653694
46980,283,284.90422712798846,7.010388442166847,2.4746833775439936,6.242802441260959,2.091804256023931
47010,280,272.7750308085458,9.18211212168371,3.432445014685986,9.757704424158042,3.6214804205117055
47040,273,272.7750314503867,7.504700295706975,2.7765535718552012,7.136940784436036,2.3908742185880616
47070,273,272.7750320922274,6.640759400315134,2.508261677335086,6.09721332072028,1.8940730706987294
47100,287,296.53772414927346,8.78159186238918,3.427887592221695,10.088727487445814,3.54470793471993
47130,310,322.37049398971095,8.994338939636304,4.141415751606722,7.47857763725349,2.5559085657543346
47160,341,357.6379533881571,7.526610596360251,2.340381226559829,6.019867835978081,1.8935553988644176
47190,382,396.7636867775869,8.119788634752316,2.9208500774841766,8.703233032341547,2.7328420769174206
47220,459,485.93429167867373,8.33038307760495,3.4121252951725136,7.5501615671689715,2.7008374570815232
47250,561,595.1455329671403,6.883782794415231,2.255352689561322,6.272709842197108,2.0375197030791714
47280,681,718.7065131109979,8.98616459755399,3.6019987838275127,8.874993396247376,2.933999479478627
47310,826,867.9205729948551,6.7841247713089174,2.4105612018426177,6.4289267433790895,2.170894604687333
47340,874,855.4318581106339,5.490904097566462,1.9804313203583224,5.331959648254945,1.7500819575767834
47370,876,843.1228463056027,6.598036134716333,2.219052805674351,7.008412614766676,2.1400991601580577
47400,884,867.5662534978019,6.449087918787147,2.30494717215026,5.377965171502919,1.7997920940248422
47430,905,892.7183120541316,5.4470182484906084,1.9230916652591588,4.187111710417856,1.4705991978557071
47460,850,773.116738481589,5.954550360915675,1.930156772591373,6.847430312224667,2.024260985583882
47490,744,669.5387371914537,4.4793428354394145,1.653797516760928,4.65005950098449,1.5842743163714186
47520,728,740.2029263658421,4.9471481275831755,1.622145190292887,4.043527561798704,1.4383441338346545
47550,782,818.3251270850442,6.777594172170653,2.238219592763029,7.17848844628357,2.2816637152092567
47580,812,830.63146060028,4.662562770549565,1.8392718769369372,5.046312978703581,1.7660216704487504
47610,821,843.1228621765778,4.3635061397489086,1.6043415175879887,4.067160542986606,1.482165932021171
47640,789,765.1215319450762,5.979876445755228,1.957325644310743,7.181281536937782,2.1751824381552702
47670,737,694.3364780012054,4.527720696581508,1.7058985331352754,5.239245388458369,1.6890976705827172
47700,693,681.8248876492438,4.098147307206175,1.5356787659404851,3.78345746132598,1.3794485716089053
47730,679,669.5387497948752,6.7714356750601885,1.9734807846913793,7.07750959502427,2.0545037573430154
47760,675,681.8248908579178,4.681323713598411,1.6801209048667678,4.957108112518817,1.6935416802469894
47790,684,694.3364845363127,4.502686726644824,1.6893734573357135,3.7579616156902866,1.418034896120188
47820,699,706.6265816434698,7.4597760197142025,2.2759027159802843,7.238218105595152,2.1997336276333406
47850,709,719.1342195111475,6.051539352543214,2.1728819746020127,5.59294060593849,1.8313849363442705
47880,730,743.5185425713385,5.521458180721954,1.9667668026217777,4.0982936912670995,1.5037815035822315
47910,753,768.7296865433584,7.412316527705978,2.5619329484248277,6.944593884361031,2.1133483085259233
47940,751,743.5185460703431,5.93499448030543,2.071099343084531,5.03903994336796,1.7066420120818948
47970,743,719.1342262796517,4.5119913068465785,1.759227370951861,3.7373379512358214,1.4289741634189643
48000,713,680.9224216244103,6.139795685505683,2.03974434275885,6.528739164080207,1.9746444440971855
48030,675,644.7410334917761,6.063664094877462,2.1076929394375536,5.243659542930447,1.764155318602935
48060,650,619.4471497100933,4.2246438062938365,1.5488860674359046,3.9937156376866865,1.4386017468440395
48090,616,595.1455721777842,6.392458521296532,2.2053369688641475,6.729277872114989,2.037679889736491
48120,587,556.7077078961385,6.125911146348671,2.0926814157565383,4.979497914695021,1.656661132619584
48150,545,520.7523781062266,5.072466498588267,1.8220738199906859,3.7968447640385103,1.4242706681319408
48180,513,508.20228497779095,6.727070613365274,2.490424740934053,7.082398711333146,2.164388619991087
48210,496,495.9546481494206,5.581198213828877,1.9868920108957224,5.104179028198172,1.6697493392126923
48240,472,470.5038923969724,4.564797711828657,1.6850126731619717,3.4337560025791354,1.3773547521482812
48270,452,446.35918543504886,6.634702112409608,2.57171689680353,7.771388058862436,2.3567072442779367
48300,405,379.3323669933533,6.461454630729007,2.436662933158313,5.7512337051862135,1.7881032908128156
48330,350,322.3705243312807,4.9802111358497,1.8656598374414428,3.802179913011531,1.4336468882221625
48360,332,334.53970400831304,5.693806281139687,1.936251993680744,7.430466392287856,2.4017581939011894
48390,330,347.1682586059252,8.0325239138153,3.295892637340563,6.226233580478728,1.9816790293509103
48420,323,307.73177140598636,6.566652055492072,2.3693451347185683,5.111669072583042,1.6752439137065522
48450,300,272.775061616909,7.9457761326022665,2.7931781967725984,8.988174131488382,2.8573258822364624
48480,283,272.7750622587499,7.086488939490838,2.606717366614843,6.566021322794715,2.060789233366948
48510,276,272.77506290059074,4.589166397835841,1.6404370897291332,4.63341819185308,1.5470587620048823
48540,274,284.9042619877982,8.682279012336412,2.646384314671139,9.378421810867998,3.055005757708966
48570,278,297.57279729193374,6.21322053607492,2.190780591544279,6.3805747069847385,2.039603333821845
48600,315,343.60747004852567,5.90744206576869,2.162290094865606,5.406708315810359,1.8601918244323923
48630,372,396.76373158975196,7.023152603198323,2.7538798320216946,8.667619445950638,3.146108265681911
48660,433,454.54995932535303,8.006360520337182,3.3140485712703773,7.615369211631351,2.6431033209529766
48690,500,520.7524001622149,5.906371685874968,2.24856489698767,5.898427216004815,1.9897273274870504
48720,591,622.4181685179846,7.27645144303981,2.696704142090188,8.071276054622581,2.6538127568812717
48750,710,743.9320037326866,6.386280400163906,2.317572231023007,6.57857551712647,2.289323943094016
48780,749,731.4280560356743,6.126040429569458,2.0628796569935663,5.499475273498399,1.764725765650491
48810,749,719.1342736591823,7.962535669389806,3.036909030775003,7.880117313817949,2.5590625890550345
48840,739,706.626638175119,6.4698510323559075,2.304400753267955,6.256168298236875,2.064419004220766
48870,731,694.3365433522816,5.615673473404071,1.9433760133508469,4.657444221771061,1.569614620126502
48900,734,730.5868572788028,7.088448868493983,2.4809149713337275,7.831842745480208,2.3472759901065037
48930,762,768.7297480433895,6.496210944010312,2.1327998261619032,6.070810035762639,1.9561282463710117
48960,739,704.0111146484248,5.77507155832857,1.9420635385819924,4.663175088535233,1.5731693769911925
48990,691,644.7410820382904,5.926578033768837,1.9692172308557905,7.700691809406453,2.3124367763877944
49020,677,680.9224760996711,5.541464649443662,2.0327454523600488,5.76874828628425,1.9357243440558358
49050,693,719.134287196192,5.277478122174477,1.7976014074013231,4.655985026227741,1.601851972290448
49080,676,667.6994248491494,6.153054227201426,2.1312978892528887,7.307994269871114,2.278039494603413
49110,648,619.9433539486585,5.961915189338442,2.097620543070814,5.9644282633748364,1.9781031594062903
49140,627,619.9433554073879,4.825454007367253,1.7243363771907403,4.105052823335065,1.4799602381224395
49170,621,619.9433568661174,7.207477455247865,2.357257636019221,7.598181593112598,2.3209384488906526
49200,618,619.9433583248467,6.504008113056676,2.277067364265252,6.159055987985536,2.0125830485833784
49230,617,619.9433597835764,4.971236991273419,1.758947165122807,4.42530902040097,1.57378234063757
49260,627,644.2640396920203,8.02162358891101,2.8822751820454644,7.75759422108099,2.6058838362618957
49290,652,669.5388317171185,7.029464393554264,2.4581744442017635,6.4258072379899565,2.0858335067264075
49320,662,669.5388332925463,5.715568668675041,2.0616190483878953,5.146915316271962,1.753419563728711
49350,662,669.5388348679741,6.333407914002723,2.422661336232448,7.135604825235876,2.3793563871812506
49380,690,705.7559017000336,7.297502601440119,2.6574523973947564,6.4385486018921,2.2120331494320022
49410,730,743.9320422431443,5.745015478820442,2.0865219871408875,5.351041027894017,1.7973574071133673
49440,707,665.3930484040392,6.410748647450414,2.123740650863795,6.873174762340061,2.187806121095929
49470,652,595.1456365952761,6.79076401813301,2.278309763859401,6.143997195506782,1.959666533992605
49500,634,619.4472196730684,4.999841139943064,1.8005354792831954,4.127007421067412,1.4751322995536889
49530,635,644.7411093457065,5.549598715824379,1.987397544736228,7.002861518614834,2.1273025545233493
49560,608,579.4398190284284,5.494913895482423,2.1142012431320465,5.554239042132133,1.8313423165414664
49590,559,520.7524369221977,4.254480040706497,1.6272148181793544,3.9812932533223195,1.4529527165233722
49620,516,495.33437166920055,5.981307268847881,2.0049270915637627,6.967082835034591,2.059501089975167
49650,478,471.15696895640014,5.910711211774154,2.281936176145509,5.930253537298898,1.902819841137865
49680,462,458.5905195576843,4.984423613537974,1.808038278364755,3.8343474501139365,1.4650484281128806
49710,446,446.3592358487391,6.7429089494609915,2.2520679671814743,7.062863295093,2.1959062758756804
49740,416,407.4683713339798,6.714454935702637,2.3461093316676407,5.949463173661657,1.8568307771750496
