overheads,ticks,traffic_volumes,traffic_targets,smart_average_speeds_a,smart_average_speeds_h,average_speeds_h,average_speeds_a
1.964180272025103,28920,190,185.4647735725204,8.87521939127611,3.413309005246812,9.785881376703124,3.3382479616699605
1.964180272025103,28950,189,184.8167706765315,9.072262518129051,4.3927365157159155,8.28353537460959,2.9318188021241762
1.9636846054041974,28980,189,184.16876778054268,6.464531801047998,2.165880367171669,5.881018413434771,1.918406080750621
1.9630211426602893,29010,188,183.52076488455378,9.331163330400264,4.858796099411763,10.858903692075335,3.673025239499725
1.9626048434421932,29040,187,182.872761988565,7.326195660836689,2.852781801944829,8.640268607368817,2.754998159404571
1.9622885165722943,29070,186,182.2247590925761,6.454822865277467,2.2752877274742023,5.735701376066235,1.7579339307978512
1.9619726780573314,29100,186,181.6392223767267,9.997027719708452,5.049142286933117,11.689016552563615,4.624542240789985
1.9618025947277626,29130,185,181.05368566087733,7.843129193762605,2.975473075154494,7.7657867275143495,2.473180135726319
1.9613652509707422,29160,185,180.4681489450279,6.263455802444654,2.1509109295554176,5.506643149629544,1.8517309304684857
1.96117645980885,29190,185,179.88261222917853,10.098778207674032,3.771511646733899,10.653347027848152,3.6187340849536294
1.9609661408217463,29220,184,179.29707551332913,8.328367224673519,3.2911129788500633,8.075903359353925,2.649076798586837
1.9607573132392584,29250,184,178.7115387974798,5.95944221662968,1.9983677555511141,5.665423502916516,1.7657299809561844
1.9604806230679306,29280,183,178.12600208163033,8.059778119056158,3.0785510178554487,9.912756071558007,3.9017608372724917
1.960254230045941,29310,182,177.540465365781,10.189340609992062,4.910713186191218,8.632353973354357,2.835670183864682
1.959952031288024,29340,182,176.95492864993156,6.946272158151381,2.5889643934102793,6.134856775077024,1.9075794784255853
1.9597476953383308,29370,181,176.36939193408222,8.253830581729902,2.95969270402674,11.037741128028,3.6110524029135975
1.9595272907429104,29400,180,175.7838552182328,8.379577146204321,3.294430857636755,8.720535040788025,2.7051484077874575
1.9591971430917654,29430,179,175.19831850238342,7.176802657305014,2.0927038465875705,6.111330922208581,1.895030714226066
1.9588784455054655,29460,179,174.61278178653401,10.126509901372101,3.103921426851943,11.29399614370541,3.703419261751637
1.958703778333462,29490,179,174.02724507068467,8.464765943065268,2.5945725573280143,8.630835105798784,2.7855914833632363
