ticks,traffic_volumes,traffic_targets,smart_average_speeds_a,smart_average_speeds_h,average_speeds_h,average_speeds_a
147210,348,343.4408165320252,7.246444218709269,2.6380173966785403,7.053201657733767,2.2374483750318896
147240,348,343.035174072093,4.979185639765049,1.7836926663690078,5.102964638496089,1.6719680981199334
147270,347,342.6295316121609,8.157212745596334,2.6378587208640836,9.767267598837673,2.9998019439555854
147300,347,342.22388915222876,7.9737037769949355,3.1678214843446786,7.017297769714556,2.1791500286466805
147330,346,341.8182466922966,5.755547142805592,2.0044673397565993,4.997948417987395,1.6203381772794274
147360,346,341.4126042323644,8.469678127477378,3.0067135341461335,9.990051553383301,3.087145344173237
147390,346,341.0069617724323,7.555116731021995,2.9346017640545288,7.078824742800641,2.243226200161233
147420,345,340.60131931250015,7.047260365783967,2.5010728700679374,5.277798264274655,1.659598275887495
147450,345,340.195676852568,10.285788127738094,4.743829458450089,10.720812409818066,3.317894588751478
147480,344,339.79003439263585,8.16414454018632,3.3119229620094264,6.644983836084386,2.160452837088734
147510,344,339.3843919327037,7.021412522724492,2.470236653153593,4.928094793860214,1.6472437667515385
147540,344,338.9787494727716,9.075657439464159,3.8231246029399126,10.269550257295657,3.707741236085419
147570,343,338.5731070128394,8.165832778944395,3.1940126847085413,7.460813734722835,2.5251622034515107
147600,343,338.1674645529073,6.95476132100116,2.317725672351988,5.495895392755703,1.7194137321077603
147630,343,337.7618220929751,9.18150312405919,4.066981743220991,9.502926628494526,3.1568755485288444
147660,342,337.356179633043,7.457888266803604,2.864175126773729,7.114340107471275,2.3354952296710265
147690,342,336.9505371731108,6.660729095903265,2.2280017819670856,5.5754839107009415,1.8125694726626433
147720,341,336.5448947131786,9.309704272377221,3.5442973101488735,10.395089801933054,3.569150575311091
147750,340,336.13925225324647,8.498151920445313,3.291301295152346,7.781997656629619,2.5704241997658266
147780,340,335.7336097933143,6.391465183772269,2.202830055964866,5.81497891624233,1.893417749735577
147810,340,335.3279673333822,9.39274088918722,3.3069694372453515,10.147009084885227,3.2578153391924816
147840,340,334.92232487345007,6.992807810510096,2.532923059659026,7.077626227086538,2.3348324544151136
147870,339,334.5166824135179,6.662781607167963,2.1940374671595886,5.5143470223061355,1.7645964231929614
147900,339,334.11103995358576,10.234775490582436,3.5630124140858213,9.714286735853062,3.389095844619049
147930,338,333.7196529218803,7.286303169910476,2.246966670321864,7.207962940990251,2.266910808998165
147960,338,333.3282658901748,5.424560596265984,1.7956915679664849,5.635499928982098,1.79627361963219
147990,337,332.93687885846936,10.260769801038977,3.9073145491245915,10.029750594296203,3.5046290385170096
148020,337,332.54549182676385,7.748825742539277,2.5133435926925296,7.626409832417613,2.5376490840294412
148050,337,332.15410479505834,5.539034738484612,1.8377358946417932,5.900254079120905,1.8470269766852487
148080,337,331.76271776335284,9.759862580655424,3.9033042005930936,10.226024739747242,3.610073410738341
148110,336,331.3713307316474,9.268149091823437,3.593126677958222,7.705513872451168,2.53112893334065
148140,335,330.97994369994194,6.642346506922147,2.490271495608685,6.100415795355362,1.9900326483826543
148170,335,330.5885566682365,9.305490013027958,3.9573722233733015,9.69781328321994,3.4525271535914723
148200,335,330.197169636531,7.4782246881274546,3.039351778948313,7.710563146523084,2.747248836813124
148230,335,329.8057826048255,7.516662244459082,2.7079870226050713,5.831602664919909,1.9192580814194786
148260,334,329.41439557312003,9.299529616587007,4.130369846287942,9.800082834951562,3.6571169009778233
